token_id,trait_type,value
0,Background,Wave Cyan
0,Earring,Gold
0,Glasses,Pentagon
0,Hair,Green Curls
0,Necklace,Cube
0,Clothes,Tshirt No Sleeve 
0,Emoji,Confident
0,Body,Light Yellow
0,Guitars,Red
0,Object,
0,Headwear,
0,Classic,
