token_id,trait_type,value
0,Background,Black
0,Outline,Spikes Cantaloupe
0,Hoody,Plain Violet
0,Logo,Caution Cantaloupe
0,Tassels,Black
0,Liquid,Sparkling Water
0,Bottle,Clear
