contract_address,name,one_day_volume,one_day_change,one_day_sales,one_day_average_price,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,total_minted,num_owners,average_price,market_cap,floor_price,floor_price_historic_one_day,floor_price_historic_seven_day,floor_price_historic_thirty_day,updated_date
0x6339e5e072086621540d0362c4e3cea0d643e114,Opepen Edition,277.6221263,-0.02316701,196,1.41643942,2252.815793,-0.093059515,1611,1.398395899,13116.10405,0.299764807,8904,1.473057507,144426.5731,73443,19950,19950,7482,1.96651244,27897.99818,1.405,1.4398,1.425,1.4,2023-05-02T21:28:08.065366
0x282bdd42f4eb70e7a9d9f40c8fea0825b7f68c5d,V1 Cryptopunks (Wrapped),12.2703,-0.341423557,14,0.87645,152.0425325,-0.452896903,178,0.854171531,1356.196418,-0.697966212,1359,0.997937026,142224.855,44000,9964,9964,5628,3.232383068,8510.965133,0.7897,0.8,0.8484,1.17,2023-05-02T21:28:12.688163
0x39ee2c7b3cb80254225884ca001f57118c8f21b6,Potatoz,0.0075,-0.557365417,1,0,0.291944,-0.221482667,14,0.020853143,2.585714,-0.91051098,116,0.022290638,125676.9652,15342,6130,6130,1327,8.191693727,127.8297657,0.0075,0.0075,0.011,0.02636,2023-05-02T21:28:13.111541
0x5b1085136a811e55b2bb2ca1ea456ba82126a376,Vessel,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:18.618722
0xe012baf811cf9c05c408e879c399960d1f305903,Koda,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:19.382028
0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Art Blocks,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:24.566073
0x99a9b7c1116f9ceeb1652de04d5969cce509b069,Art Blocks,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:25.442544
0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,Art Blocks,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:19.883102
0x32973908faee0bf825a343000fe412ebe56f802a,Pixelmon,1.1455,0,3,0.381833333,3.8685704,3.798524436,122,0.031709593,56.00209287,2.868807644,12133,0.004615684,101835.1185,2077553629,319334,319334,223256,4.90E-05,10125.95131,4.00E-07,4.00E-07,4.00E-07,1.00E-05,2023-05-02T21:28:19.804117
0x790b2cf29ed4f310bf7641f013c65d4560d28371,Otherdeed Expanded,7.72409579,0.275066163,49,0.157634608,277.304205,0.432676464,731,0.379349118,914.4557195,-0.122121096,3197,0.286035571,85731.13505,317921,2707010,2707010,673283,0.269661756,1026901.855,0.0004,1.00E-05,5.35E-05,5.60E-06,2023-05-02T21:28:13.615979
