contract_address,name,one_day_volume,seven_day_volume,seven_day_change,seven_day_sales,seven_day_average_price,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price,total_volume,total_sales,total_supply,total_minted,updated_date
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2097.7134314331997,7326.6508373332,-0.5435264182854677,147.0,49.841162158729254,57469.69970213332,0.23356671561586842,1068.0,53.810580245443184,1040705.9603705698,32615.0,9998.0,9998.0,2023-05-02T21:27:34.105606
0x60e4d786628fea6478f785a6d7e704777c86a7c6,MutantApeYachtClub,1608.34622863588,11372.323735654687,-0.32064260061710076,1032.0,11.019693542301054,52317.23825656122,-0.24304491617290072,4449.0,11.759325299294497,832353.4002097005,60845.0,19468.0,19468.0,2023-05-02T21:27:39.700450
0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,Otherdeed,161.54906790000004,1109.0839678898958,-0.06817277370218337,615.0,1.8033885656746274,14803.239596792666,-0.7396972295482981,7050.0,2.0997502974173994,603294.3082068864,167303.0,60158.0,60158.0,2023-05-02T21:27:45.278487
0xed5af388653567af2f388e6224dc7c4b3241c544,Azuki,3894.489059756391,10749.101573543392,0.06377660087534229,691.0,15.555863348109106,42524.63871597436,0.12425908047128363,2804.0,15.165705676167747,504048.20756117196,44729.0,10000.0,10000.0,2023-05-02T21:27:45.257312
0x99a9b7c1116f9ceeb1652de04d5969cce509b069,Art Blocks,139.102265555555,519.7745985085523,-0.4964721706928266,535.0,0.9715413056234623,3338.730601326797,-0.3684825011299671,3181.0,1.0495852251891848,503430.03681019804,237907.0,218967.0,218967.0,2023-05-02T21:27:45.382633
0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,Art Blocks,139.102265555555,519.7745985085523,-0.4964721706928266,535.0,0.9715413056234623,3338.730601326797,-0.3684825011299671,3181.0,1.0495852251891848,503430.03681019804,237907.0,218967.0,218967.0,2023-05-02T21:27:45.317220
0x059edd72cd353df5106d2b9cc5ab83a52287ac3a,Art Blocks,139.102265555555,519.7745985085523,-0.4964721706928266,535.0,0.9715413056234623,3338.730601326797,-0.3684825011299671,3181.0,1.0495852251891848,503430.03681019804,237907.0,218967.0,218967.0,2023-05-02T21:27:51.135184
0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,CloneX,100.04186999999997,722.1809499000002,-0.6278336220812156,209.0,3.455411243540671,11003.251680099835,-0.5321489161998437,3784.0,2.90783606767966,386079.454167328,48286.0,19479.0,19479.0,2023-05-02T21:27:50.829140
0x23581767a106ae21c074b2276d25e5c3e136a68b,Moonbirds,248.03511979999996,2399.120352615,0.014481971440883413,960.0,2.499083700640625,7637.167694456079,-0.7783673380967188,2751.0,2.7761423825721843,316296.55043814104,32965.0,10000.0,10000.0,2023-05-02T21:27:50.833429
0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,Wrapped Cryptopunks,1738.6487999999997,6698.166699999992,-0.39491942438811256,128.0,52.329427343749934,97006.04773500042,-0.48149501431911756,1747.0,55.527216791643056,293548.6936862176,6222.0,764.0,764.0,2023-05-02T21:27:56.387581
0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,Doodles,151.69811999999988,2407.889895159882,0.6897113966582217,871.0,2.7645119347415408,9824.94612056828,-0.6605190308807525,3577.0,2.7467000616629242,279756.0804658816,48935.0,10000.0,10000.0,2023-05-02T21:27:56.484147
0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,BoredApeKennelClub,272.37800009,810.2936358849994,-0.5118814873943596,171.0,4.738559274181283,10096.739510824424,-0.4883843472217913,1836.0,5.499313459054697,254489.1303605498,42332.0,9602.0,9602.0,2023-05-02T21:27:56.884187
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,Meebits,148.76875550000005,706.4931736579002,-0.5579674852733054,318.0,2.2216766467229565,5491.5473647882645,-0.1768206727547148,2258.0,2.432040462705166,167026.85133695987,35378.0,19999.0,19999.0,2023-05-02T21:27:34.135273
0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,Sandbox's LANDs,15.150318977899998,81.20459523058017,-0.0253736237483132,155.0,0.5239006143908398,557.9684800118258,-0.3764655614898167,930.0,0.5999661075395977,159289.17052672463,94762.0,126206.0,126206.0,2023-05-02T21:28:02.513444
0xf17131a4c85e8a75ba52b3f91ce8c32f6f163924,The Sandbox Official Open Sea Store,15.150318977899998,81.20459523058017,-0.0253736237483132,155.0,0.5239006143908398,557.9684800118258,-0.3764655614898167,930.0,0.5999661075395977,159289.17052672463,94762.0,126206.0,126206.0,2023-05-02T21:28:07.518803
0x5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38,Sandbox's LANDs,15.150318977899998,81.20459523058017,-0.0253736237483132,155.0,0.5239006143908398,557.9684800118258,-0.3764655614898167,930.0,0.5999661075395977,159289.17052672463,94762.0,126206.0,126206.0,2023-05-02T21:28:02.479300
0xbd3531da5cf5857e7cfaa92426877b022e612cf8,PudgyPenguins,338.17188599900004,2216.8575265479885,0.16632398481190053,533.0,4.1592073668817795,10902.318507973492,-0.38554489271467685,2686.0,4.058942110191174,158616.38569295482,57828.0,8888.0,8888.0,2023-05-02T21:28:08.021592
0x067a1eb5e383ed24b66d72aaf80d8d7db3d299a8,Sandbox's ASSETs,29.444878900000003,440.97837456218804,0.3444102472614666,355.0,1.2421926044005296,1525.54850989048,-0.054915587943637205,1093.0,1.3957442908421593,158606.6938022069,94210.0,165646.0,165646.0,2022-12-04T07:24:17.397991
