token_id,file_url,creator_address,last_sale_price,score,rank,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
2282,ipfs://QmWWScw1tfvwFnJb5aepAEVdmVUZ6yQJ4cTWkYucyP5Zm6,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 125.0, 'price_usd': 144492.76432458367}",0.9222735113796962,7198,,Army Green,Black,Vietnam Jacket,Rage,3d,
2283,ipfs://QmbW2JQZxzJj3KqJkSNjURbUDBSBZAdobeoRdd5TTJhK4G,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 85.0, 'price_usd': 341801.7097611117}",1.1973581961799618,706,,Blue,Blue,Blue Dress,Bored Bubblegum,Zombie,Ww2 Pilot Helm
2284,ipfs://QmQL9uEiPzZ3L9w9Lu6RDpDzzDcCQomMXqpHpvSX9WLRWk,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 50.6942, 'price_usd': 235773.0918647799}",0.906846264590561,7717,,Gray,Cream,Tanktop,Bored,Closed,Bayc Hat Black
2285,ipfs://QmUmXLViNH55FaV5JCpugXPgHw492Mz92pJrtVQbupjK6C,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 65.0, 'price_usd': 219036.2045296868}",1.0005626853612872,4490,Silver Hoop,Gray,Brown,Cowboy Shirt,Bored,Bored,Short Mohawk
2286,ipfs://Qmebft12hkn822SFX6qu9XdyDx3XtaR8YPuWR7pQwojF8J,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 17.0, 'price_usd': 52992.56984642219}",0.8815733852806479,8438,Silver Hoop,Aquamarine,Black,Bayc T Black,Bored,3d,
2287,ipfs://Qmd9rEGw5bjrU7RZ14dNeobZDxoM5ECBePAUfZnWuMdfY5,0xb53349160e38739b37e4bbfcf950ed26e26fcb41,"{'asset_type': 'ETH', 'contract_address': None, 'price': 0.55, 'price_usd': 1230.3265925309754}",1.103601474696141,1911,,Blue,Gray,Puffy Vest,Jovial,Hypnotized,Stuntman Helmet
2288,ipfs://QmYhXtPUQFZkYF2b7Fj87QKHCnaC4A7suZW8ekJ4ownNtN,0x47b2efa18736c6c211505aefd321bec3ac3e8779,"{'asset_type': 'ETH', 'contract_address': None, 'price': 82.5, 'price_usd': 96308.87531745339}",0.8878589850641877,8284,,Blue,Brown,Tuxedo Tee,Phoneme  ooo,Bloodshot,
2289,ipfs://QmVt1HZ7By1TjEtoTsiFAExMZuTGdfmeALVPMkTGMb3qew,0x47b2efa18736c6c211505aefd321bec3ac3e8779,"{'asset_type': 'ETH', 'contract_address': None, 'price': 79.99, 'price_usd': 299483.5917672804}",0.91741579195,7364,,New Punk Blue,Cream,Hawaiian,Grin,Zombie,
229,ipfs://QmbV8HYZVGedgWwA2PymwodkYy77sBgwvAXGJStvriGnWb,0x284f42e9de6ebf202a90a5e68181999c2eedf18c,"{'asset_type': 'ERC20', 'contract_address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'price': 6.45, 'price_usd': 12624.783930084253}",1.126794614590095,1542,Silver Stud,Purple,Dark Brown,Tie Dye,Grin,Sad,Vietnam Era Helmet
2290,ipfs://Qmf8LSE9Y9YSTHiWkeRN3cTysJSCWxouqmuoMspWhWUctz,0x5c0976f8e633ec51282aaae6fb518ae98b896e4d,"{'asset_type': 'ETH', 'contract_address': None, 'price': 1.9969, 'price_usd': 4828.4780514048925}",0.9789541276228064,5249,,Orange,Dark Brown,Caveman Pelt,Phoneme  ooo,Bored,Prussian Helmet
