,ETH,score,rank,collection_size,metadata_Earring,metadata_Background,metadata_Fur,metadata_Clothes,metadata_Mouth,metadata_Eyes,metadata_Hat
794,4.5,1.1189382074335306,1658,10000,Silver Hoop,Yellow,Tan,Work Vest,Bored Unshaven,Sleepy,Faux Hawk
795,3.98,0.8953227446805753,8068,10000,,,,,,,
797,101.0,0.8725608585941838,8658,10000,,,,,,,
798,42.85,1.17221964723064,960,10000,Silver Hoop,Gray,Brown,Bone Necklace,Phoneme Vuh,Robot,Irish Boho
799,92.0,0.9939816118037952,4716,10000,,Purple,Golden Brown,,Bored Dagger,Bored,Stuntman Helmet
800,100.0,0.8933824179611966,8119,10000,,Gray,Brown,Hawaiian,Tongue Out,Bloodshot,
801,105.0,1.109868562041418,1814,10000,,Blue,Cheetah,Bone Tee,Bored Unshaven Cigarette,Scumbag,Party Hat 2
802,4.2,0.8086180751031572,9697,10000,,Yellow,Black,,Bored Unshaven,Bloodshot,Bayc Flipped Brim
803,77.777,1.1598764234371204,1090,10000,Silver Stud,Orange,Black,Toga,Phoneme  ooo,Crazy,Cowboy Hat
804,83.8,0.958272510747073,5957,10000,,Army Green,Dark Brown,Stunt Jacket,Discomfort,Bored,Vietnam Era Helmet
805,1.1,0.9046602148787484,7778,10000,,,,,,,
806,78.99,0.8977460807288952,7998,10000,,Purple,Dark Brown,Caveman Pelt,Jovial,Bloodshot,
807,3.5,1.036138932985948,3423,10000,Silver Stud,New Punk Blue,Pink,Striped Tee,Bored,Closed,Commie Hat
808,250.0,1.1087009163884392,1827,10000,,Gray,Brown,Sleeveless T,Tongue Out,Blue Beams,Halo
809,4.0,1.0081589153090866,4232,10000,,Gray,Solid Gold,Service,Bored Unshaven,Closed,
810,0.6,0.9048648647316422,7773,10000,,Army Green,Brown,Tie Dye,Grin,Bored,Vietnam Era Helmet
811,87.99,1.0182621383603392,3936,10000,Silver Stud,Aquamarine,Black,Caveman Pelt,Bored,Bored,Safari
812,75.0,0.9362768587480844,6752,10000,,Aquamarine,Pink,Black T,Bored Unshaven,3d,Vietnam Era Helmet
813,71.0,0.8699928682060701,8721,10000,,Yellow,Blue,Guayabera,Bored,Bored,Bayc Flipped Brim
814,11.0,1.0485583248577746,3102,10000,,,,,,,
815,0.4,1.0361239006779095,3424,10000,Gold Hoop,Yellow,Cheetah,Navy Striped Tee,Small Grin,Sleepy,
816,8.0,1.146109570918603,1265,10000,,New Punk Blue,Cheetah,Tuxedo Tee,Phoneme L,Zombie,Laurel Wreath
817,115.0,1.1039725498738928,1905,10000,,New Punk Blue,Black,Kings Robe,Tongue Out,Robot,Bunny Ears
818,420.0,1.0104084698993478,4177,10000,,Aquamarine,Solid Gold,,Bored Cigarette,Bored,Faux Hawk
819,30.98,1.153136198352786,1167,10000,Silver Stud,Gray,Pink,Striped Tee,Tongue Out,Sleepy,Cowboy Hat
820,2.7,1.0977692480354897,2036,10000,Gold Hoop,Army Green,Tan,,Bored Pizza,Zombie,
821,4.2,1.0704602794200118,2610,10000,,New Punk Blue,Tan,Guayabera,Jovial,Coins,Party Hat 2
822,39.69,0.926172243436962,7085,10000,,Gray,Pink,,Dumbfounded,Angry,Fez
823,1.4,1.1222111140803148,1597,10000,Gold Stud,Aquamarine,Tan,Bone Necklace,Bored,Bored,Laurel Wreath
824,5.2,1.2101600475743357,586,10000,Gold Hoop,Aquamarine,Pink,Black Holes T,Rage,Bloodshot,Bowler
825,152.5,0.9213910198816984,7235,10000,Gold Hoop,Gray,Brown,Bandolier,Bored,Sad,
826,55.5,1.0095798444068116,4199,10000,,Aquamarine,Black,Bone Tee,Small Grin,Zombie,Army Hat
827,50.0,0.8160752910123098,9619,10000,,Aquamarine,Pink,,Bored,3d,Beanie
828,7.42,0.9022284253123296,7872,10000,,,,,,,
829,3.39,0.959241955576522,5931,10000,Silver Hoop,Gray,Gray,Sailor Shirt,Bored,Hypnotized,
